Designator,Mid X,Mid Y,Rotation,Layer
J1,101.92,-111.0,90.0,bottom
J2,128.5,-111.0,0.0,top
J3,107.5,-107.77,0.0,top
R1,106.5,-113.4125,90.0,top
R2,101.0,-109.5,270.0,top
SW1,118.0,-111.0,0.0,top
